name,genre,director,country,year
10 миль в час,Документальное кино,Хантер Уикс,США,2007
10 на 10,психологический триллер,Сьюзи Юинг,"Великобритания, США",2018
10 причин моей ненависти,"подростковая, романтическая комедия",Джил Джангер,США,1999
10 шагов к успеху,комедийная драма,Брэд Силберлинг,США,2006
11 сентября (фильм),"драма, исторический, киноальманах","Самира Махмальбаф, Клод Лелуш, Юсеф Шахин, Данис Танович, Идрисса Уэдраого, Кен Лоуч, Алехандро Гонсалес Инарриту, Амос Гитай, Мира Наир, Шон Пенн, Сёхэй Имамура","Иран, Франция, Египет, Босния и Герцеговина, Буркина-Фасо, Великобритания, Мексика, Израиль, Индия, США, Япония",2002
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,"США, Испания",2011
11:14,"триллер, детектив, криминал, чёрная комедия",Грег Маркс,"США, Канада",2003
11.6,"драма, Саундтрек",Филипп Годо,Франция,2013
12 (фильм),"психологический, триллер, юридический, детектив, драма",Никита Михалков,Россия,2007
12 дней страха,"ужасы, триллер, драма",Джек Шолдер,ЮАР,2004
"12 месяцев (фильм, 2013)","романтическая, фэнтезийная комедия",Александр Баршак,Россия,2013
12 лет рабства,"историческая, драма",Стив Маккуин,"Великобритания, США",2013
12 месяцев. Новая сказка,"фильм-сказка, комедия, мелодрама, семейный фильм",Денис Елеонский,Россия,2015
12 могил Ходжи Насреддина,"комедия, сказка",Климентий Минц,СССР,1966
12 обезьян (фильм),"фантастика, триллер, драма, антиутопия",Терри Гиллиам,США,1995
"12 разгневанных мужчин (фильм, 1957)",драма,Сидни Люмет,США,1957
12 раундов,"боевик, триллер, криминал",Ренни Харлин,США,2009
12 раундов: Перезагрузка,"боевик, триллер",Роэль Рейн,США,2013
12 стульев (телеспектакль),телеспектакль,Александр Белинский,СССР,1966
"12 стульев (фильм, 1971)",комедия,Леонид Гайдай,СССР,1971
12:08 к востоку от Бухареста,комедия,Корнелиу Порумбою,Румыния,2006
13 грехов,"триллер, фильм ужасов",Даниэль Штамм,США,2014
13 дней во Франции,"документальный фильм, спортивный фильм","Клод Лелуш, Франсуа Рейшенбах",Франция,1968
13 друзей хунты,документальный,Director,Россия,2014
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,Испания,2022
13 призраков,фильм ужасов,Уильям Касл,США,1960
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938
13 убийц,боевик,Такаси Миикэ,Япония,2010
13 часов: Тайные солдаты Бенгази,"военный, драма, триллер",Майкл Бэй,США,2016
13-й апостол,фантастический фильм,Сурен Бабаян,СССР,1988
13-й знак,Ужасы,"Джонти Эктон, Адам Мэйсон",Великобритания,2000
13-й район,боевик,Пьер Морель,Франция,2004
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,"Франция, Канада, США",2014
13-й район: Ультиматум,боевик,"Патрик Алессандрен, фр.",Франция,2009
13-й участок,"криминальный фильм, драма, экранизация",Мартин Фрич,Чехословакия,1946
13-я жертва,ужасы,Мэл Хаус,США,2008
14 амазонок,"приключенческий фильм, драма, военный фильм","Чэн Ган, Дун Шаоюн",Гонконг,1972
14 июля (фильм),комедия,Рене Клер,Франция,1933
14 клинков,"боевик, триллер",Дэниел Ли,"Гонконг, Китай",2010
14+,мелодрама,Андрей Зайцев,Россия,2015
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023
15 августа (фильм),комедия,Патрик Алессандрен,Франция,2001
15 минут славы,"Криминальная драма, боевик",Джон Херцфелд,США,2001
